iterations	num_faults	num_skips	num_bits	correct%	coverage	correct	no output	incorrect	crash	detected control	 detected data	instructions in range
1	0	1	1	0.0	0.0526315789197	0	1	18	0	0	0	12
iteration	instrution #	output	valid	type	PC	instruction	register affected	original value	faulty value	useful
0	0	ans = 6	0	1	1073748280	st %g1, [%fp - 0xc]	0	1	3	1
0	1	ans = 5	0	1	1073748280	st %g1, [%fp - 0xc]	1	1077935616	1077935872	1
0	2	ans = 4194310	0	1	1073748284	mov 5, %g1	0	5	4194309	1
0	3	ans = 6	0	1	1073748288	st %g1, [%fp - 0x8]	0	5	13	1
0	4	ans = 0	0	1	1073748288	st %g1, [%fp - 0x8]	1	1077935616	1077933568	1
0	5	ans = 1	0	1	1073748292	ld [%fp - 0xc], %g2	0	1077935616	1077935680	1
0	6	ans = 67108870	0	1	1073748292	ld [%fp - 0xc], %g2	1	1	67108865	1
0	7	ans = 6	0	1	1073748296	ld [%fp - 0x8], %g1	0	1077935616	1077933568	1
0	8	ans = 268435462	0	1	1073748296	ld [%fp - 0x8], %g1	1	5	268435461	1
0	9	ans = 6	0	1	1073748300	add %g2, %g1, %g1	0	1	513	1
0	10	ans = 268435462	0	1	1073748300	add %g2, %g1, %g1	1	6	268435462	1
0	11	ans = 518	0	1	1073748300	add %g2, %g1, %g1	2	6	518	1
0	12	ans = 6	0	1	1073748304	st %g1, [%fp - 0x4]	0	6	134217734	1
0	13	ans = 0	0	1	1073748304	st %g1, [%fp - 0x4]	1	1077935616	1077919232	1
0	14	ans = 6	0	1	1073748312	or %g1, 0x310, %o0	0	1073786880	1073754112	1
0	15	(no output)	0	2	1073748312	or %g1, 0x310, %o0	1	1073787664	1073787728	0
0	16	ans = 6	0	1	1073748316	ld [%fp - 0x4], %o1	0	1077935616	1077919232	1
0	17	ans = 524294	0	1	1073748316	ld [%fp - 0x4], %o1	1	6	524294	1
0	18	ans = 6	0	1	0		-1	0	0	1
